"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"R2,R1";"R3920";2;"1mR";;;
2;"R19,R18";"R_0402_1005Metric";2;"5.1k";;;
3;"C9,C15,C7,C2,C12,C6,C10,C11,C14,C13";"C_0402_1005Metric";10;"100n";;;
4;"C4";"C_0402_1005Metric";1;"22u";;;
5;"U6";"QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm";1;"RP2040";;;
6;"U4,U5";"VSSOP-10_3x3mm_P0.5mm";2;"INA226";;;
7;"C1,C8";"C_0402_1005Metric";2;"1u";;;
8;"X1";"OSC-SMD_4P-L3.2-W2.5-BL";1;"X322512MSB4SI";;;
9;"R15,R10";"R_0402_1005Metric";2;"1k";;;
10;"R8,R9";"R_0402_1005Metric";2;"10k";;;
11;"D1";"SMA_L4.3-W2.5-LS5.0-RD";1;"1N4007_C727081";;;
12;"USB1";"USB-C-SMD_TYPE-C-6PIN-2MD-073";1;"TYPE-C 16PIN 2MD(073)";;;
13;"CN1,CN2";"CONN-TH_XT30PW-M";2;"XT30PW-M";;;
14;"C3";"C_0402_1005Metric";1;"10u";;;
15;"C17,C16";"C_0402_1005Metric";2;"27p";;;
16;"R17,R16";"R_0402_1005Metric";2;"27.4";;;
17;"JP5,JP6";"SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm";2;"SolderJumper_2_Open";;;
18;"R11,R14,R12,R13";"R_0402_1005Metric";4;"4.7k";;;
19;"U1";"CONN-TH_XT30PW-F-1";1;"XT30PW-F";;;
20;"U3";"WSON-8_L8.0-W6.10-P1.27-BL-EP";1;"W25N01GVZEIG_C907680";;;
21;"U7";"SOT-89-3";1;"AZ1117-3.3";;;
22;"U2";"USON-8_L4.0-W3.0-P0.80-BL_WINBOND_UU";1;"W25Q32JVUUIQ";;;
23;"TP1";"TestPoint_Pad_1.5x1.5mm";1;"SWCLK";;;
24;"TP3";"TestPoint_Pad_1.5x1.5mm";1;"UART0 TX";;;
25;"JP3,JP4,JP2,JP1";"SolderJumper-3_P1.3mm_Open_Pad1.0x1.5mm";4;"SolderJumper_3_Open";;;
26;"Card1";"TF-SMD_XKTF-015-N";1;"XKTF-015-G";;;
27;"TP5,TP6";"TestPoint_Pad_1.5x1.5mm";2;"GND";;;
28;"TP2";"TestPoint_Pad_1.5x1.5mm";1;"SWD";;;
29;"TP4";"TestPoint_Pad_1.5x1.5mm";1;"UART0 RX";;;
30;"R7";"R_0402_1005Metric";1;"300k";;;
